city,total_sales_value
Serra do Salitre,1106.0
Laranjal,1126.0
Chopinzinho,398.0
Lavras,43820.770000000004
Imperatriz,39020.490000000005
Altamira,3188.0
Dores do Rio Preto,3506.0
Juatuba,3271.0
Santa Vitória do Palmar,699.99
Machado,2900.0
Águas Belas,449.0
Duque de Caxias,315532.70999999973
Jequeri,2085.0
Entre Rios de Minas,4186.2
Valparaíso de Goiás,4279.25
Porto Trombetas,398.0
Jaguariaíva,2451.0
Terra Nova D'Oeste,549.0
Bezerros,529.0
Alcinópolis,727.0
Montanha,2090.0
são paulo,826.0
Cavalcante,298.8
Tremembé,3671.5
São Pedro dos Ferros,987.0
Avaré,9243.98
Ibaté,329.0
Paraíso do Tocantins,9920.5
Santa Rita de Cássia,498.0
Serra Alta,996.0
Silvânia,4170.0
Arcos,6117.2
Vargem Grande do Sul,6131.98
Embaúba,379.0
Paranhos,449.0
Santa Helena de Minas,1584.6
Torres,8289.98
Timon,2381.0
Guarantã,198.0
Tuparendi,798.0
Marica,358.0
Natal,134607.38000000006
Maraú,1631.1
Monte Belo,499.0
Serra do Mel,329.99
Carajás,478.99
Cosmorama,808.0
rj,377.0
Ivaiporã,5454.99
Rubinéia,708.0
Teotônio Vilela,976.0
Antônio Martins,1312.3
Novo Hamburgo,8727.57
Itapecerica da Serra,4230.5
Chapadinha,1011.9
Ourinhos,13428.7
Bicas,3555.0
Ibicuí,349.0
Diadema,24031.69
Altair,875.1
Mâncio Lima,1115.0
Meleiro,3226.0
Medina,6376.0
Sapucaia,5719.969999999999
Votuporanga,9787.0
Cumari,447.0
Materlândia,508.0
Ruy Barbosa,2788.0
Nova Serrana,9678.0
Juruti,877.0
Gandu,3548.0
Jeremoabo,2299.0
São José de Ubá,1842.0
Estância Velha,327.0
Tanguá,7252.98
Água Doce do Norte,5358.0
Águas de Santa Bárbara,449.0
Senador Canedo,6857.99
CONSELHEIRO LAFAIETE,3158.0
Sao Paulo,5314.4
Embu-Guaçu,1525.0
Senador Guiomard,2710.0
João Alfredo,349.0
Wanderley,98.0
Pratápolis,179.0
Caçapava do Sul,359.0
Sericita,3103.99
Alpercata,429.99
RIO DE JANEIRO,37867.96
Santo Hipólito,499.0
Morungaba,3436.2999999999997
Guaíra,8991.19
Assaí,4326.2
Sertaneja,1072.0
Canto do Buriti,449.0
Belford Roxo,55067.059999999976
Nova Iguaçu,252287.76999999964
Iporã,1711.0
Santa Terezinha de Itaipu,1476.0
Pedro II,756.99
Pedregulho,1345.0
Quixadá,1196.0
Montes Claros,141544.12000000005
Pontes e Lacerda,7973.5
Matipó,7565.9
Inhumas,11123.49
Vilhena,17519.5
Três Pontas,3961.6
Camanducaia,627.0
Trancoso,475.4
Guaraqueçaba,773.8
Taquarivaí,129.0
Ceará-Mirim,556.5
Lages,12676.98
Anápolis,45487.75999999999
Renascença,826.0
Mogi Mirim,14700.9
Tietê,13086.99
Pedreira,9679.99
Araporã,3423.0
Holambra,477.5
Placas,1175.0
Nuporanga,1741.0
Propriá,1594.0
São Simão,2014.3
Mucuri,10548.69
Poço Verde,777.0
Salesópolis,648.0
Presidente Sarney,379.0
São Domingos do Araguaia,429.0
Jussiape,756.0
Arraial do Cabo,23157.360000000004
Ibipitanga,498.0
São Sebastião da Amoreira,1245.0
Frutuoso Gomes,398.0
São João de Pirabas,398.0
Luislândia,945.0
Morro do Pilar,796.0
Urupá,727.0
Goioerê,5269.0
Linhares,82529.91000000002
São José do Goiabal,349.0
Iguaraçu,359.0
BROTAS,449.0
Areia Branca,846.0
Assis Chateaubriand,4139.0
Cuiabá,98626.96000000002
Franco da Rocha,3329.0
Kaloré,198.0
Sinop,20906.370000000006
Três rios,787.0
Morros,898.0
PERUIBE,159.0
Francisco Dumont,698.0
Maceió,244659.41999999998
Votorantim,11278.48
Carmo da Mata,1645.0
SAO GONCALO,398.0
Nova Iguaçu ,298.0
Pires do Rio,2573.0
Apiacás,549.0
cordeiropolis,247.0
Cacaulândia,1186.6
Comendador Gomes,1592.0
Maracanaú,1445.0900000000001
Bayeux,349.0
Itabirito,52745.969999999994
Pingo-D'Água,1096.0
Faxinal,449.0
São Sebastião do Anta,1169.4
Pontalina,169.0
Pedro Gomes,449.0
Chapadão do Sul,4287.0
Conceição do Pará,398.0
Leoberto Leal,1187.0
Piranga,648.0
Pirapora,13068.7
Campo Bom,2799.0
Capanema,6979.949999999999
OSASCO,349.0
Turvo,726.0
Cuité,697.0
Água Azul do Norte,529.0
Primavera do Leste,9133.99
Carmo do Paranaíba,2252.8
Manhuaçu,22633.680000000004
Itacaré,4072.0
Ilha de Itamaracá,1355.0
Mafra,4131.99
Passa Tempo,1633.0
Campos dos Goytacazes ,549.0
Santa Rita do Trivelato,449.0
Tocantins,3066.6
Simonésia,3445.7
Sales Oliveira,1125.0
Treze de Maio,229.0
Coribe,1744.99
MANAUS,298.0
Ilhabela,18375.28
Iracema do Oeste,598.0
Itapecuru Mirim,339.0
Bonfinópolis,279.0
Centenário do Sul,1375.0
Ibiraçu,7785.09
São Roque,6664.9
Caracol,329.0
Marabá Paulista,359.0
Santo Antônio do Aracanguá,2151.0
Edéia,698.0
Campo do Meio,936.0
Wenceslau Guimarães,349.0
Tres pontas,2379.0
Muriae,267.0
Farroupilha,1695.2
Castelo,24603.7
Inajá,1245.0
Nova Independência,229.0
Sud Mennucci,1682.0
São Carlos,46699.82
Venturosa,549.0
Carmópolis de Minas,2450.0
Paiçandu,1294.0
Coruripe,4143.0
Engenheiro Paulo de Frontin,2894.9799999999996
Igreja Nova,1126.0
Porangatu,2202.0
Alta Floresta,6837.0
Goianinha,3108.0
Maricá,109221.97000000002
Oiapoque,3635.0
Sumidouro,5446.99
Saúde,945.0
São Félix do Xingu,4656.2
DOIS CORREGOS,429.0
Sarzedo,6995.9400000000005
São João,1694.0
Ponta Porã,3218.99
Inhambupe,1066.5
Carapicuíba,23949.489999999998
Chapecó,18191.199999999997
São Raimundo Nonato,3529.0
Jacaraú,298.0
Barra de São João,628.0
Ibirá,625.0
Arame,647.0
Campo Maior,498.0
Alvarenga,529.0
Santa Rita do Araguaia,379.0
Cosmópolis,11387.0
Itaí,598.0
Lagarto,11016.97
Xanxerê,1147.0
Cedral,2233.0
Santa Maria do Suaçuí,437.5
Vassouras,27207.1
Chalé,1096.0
Pains,1626.0
Nossa Senhora da Glória,5375.0
