productId,title,stock
83779,Vestido Mangas Pregas Lilas Salvia - M,True
71745,Sandália Rasteira Rafia Puffy Est Rua 5521_Barrado Malha_Off White @ - 40,True
81697,Vestido Cropped Estampado Amaral Amaral_Eng Vestido_Azul Cianita - PP,True
148578,Body Estampado Samambaia Est Samambaia_Off White @ - M,True
68656,Calça Flare Longa Bege Jalapão - P,True
78170,Regata Alça Fina Verde Figueira - GG,True
152117,Tênis Fervo Iate Floral Delicata - 39,True
68487,Blusa Lastex Estampada Floral Vintage Est Floral Vintage_Preto @ - M,True
148182,Mala Me Leva P Farm Coqueiro Carioca,True
82707,Vestido Barrado Estampado Brilho Tropical Brilho Tropical_Azul Netuno - GG,True
72013,Calça Flare Babados Santa Maria Multicolorido - M,True
83199,Vestido Cropped Estampado Amor Em Cores Amor Em Cores_Preto - GG,True
74723,Regata Básica Rib Preto - GG,True
75804,Jaqueta Cropped Puffer Estampada Alba Est Alba_Roxo Vinhedo - GG,True
75682,Blazer Curto Estampado Lembrança De Verão Banana Lembranca De Verao Banana_Off White - PP,True
82692,Body Estampado Jardim Encantado Jardim Encantado_Off White - M,True
154606,Praiana Est Farm Rio Off White - 35 36,True
79451,Vestido Básico Rib Preto - P,True
148566,Bermuda Jeans Baggy Baixa Jeans Medio - 38,True
71136,Vestido Curto Estampado Que Onda Est Que Onda_Bege Cupuacu - G,True
84048,Blusa Corselet Manga Longa Preto - PP,True
84222,Body Mg Kimono Estampado Samambaia Est Samambaia_Off White @ - GG,True
78644,Calça Estampada Leveza Romântica Est Leveza Romantica_Bege Cupuacu @ - PP,True
152045,Mochila Xodó Cogumelo Silvestre Cogumelo Silvestre - U,True
81436,Macacão Corselet Reto Preto - M,True
78140,Vestido Transpasse Babado Rosa Granita - PP,True
78763,Blusa Romântica Bordada Bege Linhaca - P,True
71622,Regata Tiras Laterais Verde Pilar - G,True
84466,T-Shirt Estampada Luiza Est Luiza_Off White @ - M,True
83308,Macacão Estampado Jardim Clássico Jardim Classico_Preto - P,True
56845,Maiô Bojo Lastex Sonho De Limão Est Sonho De Limao_Mini Praia_Lilas Luar - M,True
155219,Blusa Silk Abacachique Off White - 8,True
69621,Apolo Beaded Sneaker Multicolorido - 40,True
80512,Calça Jeans Baixa Aleta Cós Jeans Escuro - 44,True
