city,total_revenue
São José do Vale do Rio Preto,5395.29
Canoinhas,5385.5
Nossa Senhora da Glória,5375.0
Caiapônia,5369.0
Água Doce do Norte,5358.0
Itapevi,5353.0
Canavieiras,5350.99
Domingos Martins,5349.0
Laje do Muriaé,5348.2
Nossa Senhora do Socorro,5341.9
Rolim de Moura,5316.6
Sao Paulo,5314.4
Tanabi,5309.98
Apodi,5300.5
Goioerê,5269.0
Paragominas,5250.0
Alto Paraíso de Goiás,5214.5
São Brás do Suaçuí,5205.49
Ibitinga,5190.99
Rubiataba,5186.2
Acajutiba,5182.0
Santa Rosa de Viterbo,5170.0
Ubaíra,5168.98
Vargem Grande Paulista,5158.1900000000005
Tucuruí,5155.98
Perdões,5150.99
Toledo,5143.0
Fundão,5126.09
Atalaia,5123.0
Salvaterra,5108.4
Pirapetinga,5105.1
São Félix do Coribe,5102.6
Caldas Novas,5080.0
Nova Olímpia,5073.99
Dois Córregos,5064.0
Sabino,5063.0
Boituva,5062.0
Mendes,5024.5
Nova Odessa,5017.5
Cerquilho,4989.99
Araçoiaba da Serra,4979.3
Cocalzinho de Goiás,4970.0
Guimarânia,4967.5
Indaial,4964.0
Santa Helena de Goiás,4963.0
Caconde,4961.0
Acrelândia,4924.0
Colorado,4920.0
FOZ DO IGUACU,4904.0
Padre Bernardo,4903.5
Marechal Floriano,4892.99
Mar de Espanha,4872.49
Urussanga,4853.99
Andradas,4849.5
Vertentes,4837.0
São Joaquim da Barra,4823.469999999999
São Domingos do Norte,4813.0
Santa Rosa,4806.5
Barra Bonita,4801.99
Jaguaré,4794.0
Itaobim,4756.0
Cunha,4736.0
São Francisco do Guaporé,4735.0
Registro,4721.2
Rio de Janeiro ,4719.99
Curitibanos,4714.0
Água Boa,4704.0
Paranaíba,4699.1900000000005
Brasiléia,4691.0
Morro Agudo,4679.8
Cambuci,4672.2
Nova Andradina,4662.8
Fartura,4661.0
Nioaque,4657.99
São Félix do Xingu,4656.2
Ipojuca,4655.5
Chavantes,4648.0
Santana,4630.48
Italva,4626.99
Potirendaba,4616.99
Iracemápolis,4603.99
Vargem Alta,4593.0
São Gotardo,4585.0
Coxim,4584.29
Feliz Natal,4572.0
Macuco,4570.1
Guaraçaí,4562.2
Guaíba,4531.0
Manhumirim,4527.0
Itapeva,4515.0
Valparaíso,4514.0
Igarapé,4512.0
Bombinhas,4511.0
Bariri,4480.6
Irupi,4474.0
Itajobi,4474.0
Cidade Ocidental,4470.4
Presidente Médici,4468.0
Janaúba,4456.0
Ipaussu,4437.5
São Sebastião do Alto,4429.99
Murutinga do Sul,4417.5
Rio Verde de Mato Grosso,4397.99
Morrinhos,4389.49
Marianópolis do Tocantins,4378.4
Ubaporanga,4376.0
Osório,4376.0
Iúna,4365.0
Maracaju,4357.0
Taiobeiras,4355.0
Quatis,4345.98
José Bonifácio,4334.0
Guarantã do Norte,4330.5
Assaí,4326.2
Nova Mutum,4320.5
Eugenópolis,4310.0
Tabapuã,4290.98
Chapadão do Sul,4287.0
Valparaíso de Goiás,4279.25
Maragogipe,4279.0
Boninal,4274.0
Jaguaruna,4265.0
Almenara,4247.98
Paranacity,4236.0
Goiás,4231.0
Itapecerica da Serra,4230.5
Nova Viçosa,4203.89
Entre Rios de Minas,4186.2
Santa Izabel do Pará,4182.0
Cafelândia,4181.5
